CONTRACTOR INVOICE,,,,,,
,,,,,,
Company Name:,[YOUR COMPANY NAME],,,,Invoice #:,[AUTO-001]
Address:,[Your Street Address],,,,Date:,[MM/DD/YYYY]
City/State/Zip:,"[City, ST ZIP]",,,,Due Date:,[MM/DD/YYYY]
Phone:,[555-555-5555],,,,Payment Terms:,Net 30
Email:,[email@company.com],,,,
License #:,[Your License Number],,,,
,,,,,,
BILL TO:,,,,,,
Client Name:,[Client Name],,,,
Address:,[Client Address],,,,
City/State/Zip:,"[City, ST ZIP]",,,,
Phone:,[Client Phone],,,,
,,,,,,
PROJECT DETAILS,,,,,,
Project Name:,[Project Name/Address],,,,
Description:,[Brief project description],,,,
,,,,,,
LINE ITEMS,,,,,,
Description,Quantity,Unit,Unit Price,Amount,,
"Example: Demolition of existing bathroom",1,Job,$500.00,$500.00,,
"Example: Rough plumbing",16,Hours,$85.00,"$1,360.00",,
"Example: PEX pipe and fittings",1,Lot,$245.00,$245.00,,
"Example: Fixtures (toilet, sink, faucet)",1,Set,"$1,200.00","$1,200.00",,
"Example: Tile installation",120,Sq Ft,$8.50,"$1,020.00",,
,,,,,,
,,,,,,
,,,Subtotal:,"$4,325.00",,
,,,Tax (if applicable):,$0.00,,
,,,TOTAL DUE:,"$4,325.00",,
,,,,,,
PAYMENT METHODS,,,,,,
"Check: Make payable to [Your Company Name]",,,,,,
"Venmo/Zelle: [Your Payment Handle]",,,,,,
"Credit Card: Available upon request (3% processing fee)",,,,,,
,,,,,,
TERMS & CONDITIONS,,,,,,
"1. Payment is due within 30 days of invoice date.",,,,,,
"2. Late payments subject to 1.5% monthly interest.",,,,,,
"3. All work guaranteed for 1 year from completion date.",,,,,,
"4. Client responsible for obtaining necessary permits unless otherwise agreed.",,,,,,
,,,,,,
Thank you for your business!,,,,,,
