JOB ESTIMATE,,,,,,
,,,,,,
Company Name:,[YOUR COMPANY NAME],,,,Estimate #:,[EST-001]
Address:,[Your Street Address],,,,Date:,[MM/DD/YYYY]
City/State/Zip:,"[City, ST ZIP]",,,,Valid Until:,[MM/DD/YYYY]
Phone:,[555-555-5555],,,,
Email:,[email@company.com],,,,
License #:,[Your License Number],,,,
,,,,,,
PREPARED FOR:,,,,,,
Client Name:,[Client Name],,,,
Address:,[Project Address],,,,
Phone:,[Client Phone],,,,
Email:,[Client Email],,,,
,,,,,,
PROJECT SCOPE,,,,,,
Project:,[Project Name],,,,
Location:,[Project Address],,,,
Description:,"[Detailed description of work to be performed]",,,,
,,,,,,
COST BREAKDOWN,,,,,,
Category,Description,Quantity,Unit,Unit Cost,Total,
LABOR,,,,,,
,"Skilled labor (journeyman)",0,Hours,$75.00,$0.00,
,"Apprentice labor",0,Hours,$45.00,$0.00,
,"Project management",0,Hours,$95.00,$0.00,
,Labor Subtotal:,,,,=$0.00,
,,,,,,
MATERIALS,,,,,,
,"[Material 1]",0,Units,$0.00,$0.00,
,"[Material 2]",0,Units,$0.00,$0.00,
,"[Material 3]",0,Units,$0.00,$0.00,
,Materials Subtotal:,,,,=$0.00,
,,,,,,
EQUIPMENT,,,,,,
,"[Equipment rental/usage]",0,Days,$0.00,$0.00,
,Equipment Subtotal:,,,,=$0.00,
,,,,,,
OTHER COSTS,,,,,,
,"Permits & inspections",1,Lump,$0.00,$0.00,
,"Waste removal/dumpster",1,Lump,$0.00,$0.00,
,"Fuel & transportation",1,Lump,$0.00,$0.00,
,Other Subtotal:,,,,=$0.00,
,,,,,,
SUMMARY,,,,,,
,Labor:,,,,$0.00,
,Materials:,,,,$0.00,
,Equipment:,,,,$0.00,
,Other:,,,,$0.00,
,Subtotal:,,,,$0.00,
,"Overhead & Profit (20%):",,,,$0.00,
,Contingency (10%):,,,,$0.00,
,Tax:,,,,$0.00,
,TOTAL ESTIMATE:,,,,$0.00,
,,,,,,
TIMELINE,,,,,,
"Estimated Start Date:","[Start Date]",,,,,
"Estimated Completion:","[End Date]",,,,,
"Working Days Required:","[# Days]",,,,,
,,,,,,
TERMS,,,,,,
"1. This estimate is valid for 30 days from the date above.",,,,,,
"2. Actual costs may vary by up to 10% from this estimate.",,,,,,
"3. Any change orders will be documented and approved before work begins.",,,,,,
"4. 50% deposit required before work begins. Balance due on completion.",,,,,,
"5. All work performed per local building codes and regulations.",,,,,,
,,,,,,
ACCEPTANCE,,,,,,
"I accept this estimate and authorize work to begin.",,,,,,
,,,,,,
Client Signature: _______________,,,Date: _______________,,,
Print Name: _______________,,,,,,
